Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,2000,Kharif     ,Uttarakhand,1890.0,981.0,1413.4,185541.3,491.4,0.52
Bajra,2000,Kharif     ,Uttarakhand,11.0,15.0,1413.4,1079.87,2.86,1.36
Barley,2000,Rabi       ,Uttarakhand,25797.0,25064.0,1413.4,2532491.49,6707.22,0.97
Garlic,2000,Whole Year ,Uttarakhand,2062.0,16274.0,1413.4,202426.54,536.12,7.89
Gram,2000,Rabi       ,Uttarakhand,993.0,683.0,1413.4,97482.81,258.18,0.69
Groundnut,2000,Kharif     ,Uttarakhand,1750.0,1481.0,1413.4,171797.5,455.0,0.85
Horse-gram,2000,Kharif     ,Uttarakhand,9223.0,4787.0,1413.4,905421.91,2397.98,0.52
Linseed,2000,Rabi       ,Uttarakhand,17.0,5.0,1413.4,1668.89,4.42,0.29
Maize,2000,Kharif     ,Uttarakhand,33467.0,48302.0,1413.4,3285455.39,8701.42,1.44
Maize,2000,Rabi       ,Uttarakhand,63.0,99.0,1413.4,6184.71,16.38,1.57
Masoor,2000,Rabi       ,Uttarakhand,15290.0,8156.0,1413.4,1501019.3,3975.4,0.53
Moong(Green Gram),2000,Kharif     ,Uttarakhand,45.0,16.0,1413.4,4417.65,11.7,0.36
Moong(Green Gram),2000,Rabi       ,Uttarakhand,110.0,31.0,1413.4,10798.7,28.6,0.28
Moth,2000,Kharif     ,Uttarakhand,44.0,17.0,1413.4,4319.48,11.44,0.39
Onion,2000,Whole Year ,Uttarakhand,1781.0,11027.0,1413.4,174840.77,463.06,6.19
Other  Rabi pulses,2000,Rabi       ,Uttarakhand,127.0,54.0,1413.4,12467.59,33.02,0.43
Other Cereals,2000,Kharif     ,Uttarakhand,5596.0,1587.0,1413.4,549359.32,1454.96,0.28
Other Cereals,2000,Rabi       ,Uttarakhand,1307.0,1323.0,1413.4,128308.19,339.82,1.01
Other Kharif pulses,2000,Kharif     ,Uttarakhand,11548.0,6844.0,1413.4,1133667.16,3002.48,0.59
Peas & beans (Pulses),2000,Rabi       ,Uttarakhand,3402.0,2598.0,1413.4,333974.34,884.52,0.76
Potato,2000,Kharif     ,Uttarakhand,6286.0,138309.0,1413.4,617096.62,1634.36,22.0
Potato,2000,Rabi       ,Uttarakhand,6473.0,148125.0,1413.4,635454.41,1682.98,22.88
Ragi,2000,Kharif     ,Uttarakhand,127733.0,162286.0,1413.4,12539548.61,33210.58,1.27
Rapeseed &Mustard,2000,Rabi       ,Uttarakhand,13406.0,8127.0,1413.4,1316067.02,3485.56,0.61
Rice,2000,Kharif     ,Uttarakhand,285545.0,579074.0,1413.4,28031952.65,74241.7,2.03
Rice,2000,Rabi       ,Uttarakhand,3062.0,9578.0,1413.4,300596.54,796.12,3.13
Sesamum,2000,Kharif     ,Uttarakhand,2700.0,442.0,1413.4,265059.0,702.0,0.16
Small millets,2000,Kharif     ,Uttarakhand,73164.0,80384.0,1413.4,7182509.88,19022.64,1.1
Small millets,2000,Rabi       ,Uttarakhand,2.0,3.0,1413.4,196.34,0.52,1.5
Soyabean,2000,Kharif     ,Uttarakhand,6478.0,4382.0,1413.4,635945.26,1684.28,0.68
Sugarcane,2000,Whole Year ,Uttarakhand,116478.0,6831440.0,1413.4,11434645.26,30284.28,58.65
Sunflower,2000,Kharif     ,Uttarakhand,213.0,227.0,1413.4,20910.21,55.38,1.07
Tobacco,2000,Whole Year ,Uttarakhand,102.0,713.0,1413.4,10013.34,26.52,6.99
Turmeric,2000,Whole Year ,Uttarakhand,152.0,39.0,1413.4,14921.84,39.52,0.26
Urad,2000,Kharif     ,Uttarakhand,10160.0,4481.0,1413.4,997407.2,2641.6,0.44
Urad,2000,Rabi       ,Uttarakhand,1018.0,345.0,1413.4,99937.06,264.68,0.34
Wheat,2000,Rabi       ,Uttarakhand,377340.0,711036.0,1413.4,37043467.8,98108.4,1.88
other oilseeds,2000,Rabi       ,Uttarakhand,128.0,88.0,1413.4,12565.76,33.28,0.69
Arhar/Tur,2001,Kharif     ,Uttarakhand,1934.0,1053.0,1541.3,197519.42,502.84,0.54
Bajra,2001,Kharif     ,Uttarakhand,44.0,57.0,1541.3,4493.72,11.44,1.3
Barley,2001,Rabi       ,Uttarakhand,22875.0,25590.0,1541.3,2336223.75,5947.5,1.12
Garlic,2001,Whole Year ,Uttarakhand,2063.0,16832.0,1541.3,210694.19,536.38,8.16
Gram,2001,Rabi       ,Uttarakhand,1259.0,868.0,1541.3,128581.67,327.34,0.69
Groundnut,2001,Kharif     ,Uttarakhand,1136.0,1014.0,1541.3,116019.68,295.36,0.89
Horse-gram,2001,Kharif     ,Uttarakhand,7781.0,3437.0,1541.3,794673.53,2023.06,0.44
Linseed,2001,Rabi       ,Uttarakhand,15.0,6.0,1541.3,1531.95,3.9,0.4
Maize,2001,Kharif     ,Uttarakhand,32938.0,40682.0,1541.3,3363957.94,8563.88,1.24
Maize,2001,Rabi       ,Uttarakhand,125.0,183.0,1541.3,12766.25,32.5,1.46
Masoor,2001,Rabi       ,Uttarakhand,14649.0,7651.0,1541.3,1496102.37,3808.74,0.52
Moong(Green Gram),2001,Kharif     ,Uttarakhand,67.0,32.0,1541.3,6842.71,17.42,0.48
Moong(Green Gram),2001,Rabi       ,Uttarakhand,59.0,16.0,1541.3,6025.67,15.34,0.27
